Life expectancy at birth (period, 1x1) 	Last modified: 11 Dec 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
AUS        1921        63.18    59.10    60.97
AUS        1922        65.11    60.88    62.83
AUS        1923        63.66    59.98    61.68
AUS        1924        64.51    60.77    62.48
AUS        1925        65.38    61.30    63.17
AUS        1926        65.07    60.99    62.88
AUS        1927        64.85    61.10    62.84
AUS        1928        64.72    61.33    62.91
AUS        1929        65.39    61.10    63.08
AUS        1930        66.90    63.15    64.90
AUS        1931        67.33    63.55    65.32
AUS        1932        67.60    63.83    65.60
AUS        1933        67.46    63.65    65.43
AUS        1934        66.69    63.09    64.79
AUS        1935        67.17    63.18    65.05
AUS        1936        67.20    63.38    65.19
AUS        1937        67.96    63.76    65.74
AUS        1938        67.93    63.80    65.76
AUS        1939        68.06    63.64    65.73
AUS        1940        68.64    63.93    66.16
AUS        1941        68.23    64.05    66.04
AUS        1942        67.89    63.89    65.79
AUS        1943        68.25    64.57    66.33
AUS        1944        69.79    66.25    67.96
AUS        1945        70.28    66.62    68.38
AUS        1946        70.15    65.87    67.92
AUS        1947        70.96    66.28    68.52
AUS        1948        71.00    66.14    68.47
AUS        1949        71.78    66.64    69.09
AUS        1950        71.72    66.51    69.00
AUS        1951        71.59    66.08    68.70
AUS        1952        72.04    66.45    69.11
AUS        1953        72.56    67.06    69.69
AUS        1954        72.79    67.18    69.86
AUS        1955        73.25    67.34    70.15
AUS        1956        73.05    67.29    70.04
AUS        1957        73.46    67.45    70.32
AUS        1958        74.02    67.96    70.86
AUS        1959        73.74    67.44    70.45
AUS        1960        74.05    67.95    70.87
AUS        1961        74.52    68.04    71.13
AUS        1962        74.29    67.82    70.91
AUS        1963        74.30    67.90    70.96
AUS        1964        73.97    67.48    70.57
AUS        1965        74.24    67.66    70.80
AUS        1966        74.07    67.57    70.68
AUS        1967        74.56    67.83    71.05
AUS        1968        74.23    67.46    70.68
AUS        1969        74.69    67.76    71.07
AUS        1970        74.18    67.43    70.65
AUS        1971        74.90    68.25    71.45
AUS        1972        75.31    68.48    71.77
AUS        1973        75.71    68.68    72.06
AUS        1974        75.50    68.47    71.85
AUS        1975        76.41    69.37    72.78
AUS        1976        76.41    69.40    72.79
AUS        1977        77.06    70.07    73.47
AUS        1978        77.33    70.33    73.74
AUS        1979        77.99    70.85    74.33
AUS        1980        78.22    71.09    74.57
AUS        1981        78.43    71.30    74.78
AUS        1982        78.29    71.31    74.72
AUS        1983        78.82    72.15    75.44
AUS        1984        78.84    72.27    75.51
AUS        1985        78.67    72.28    75.43
AUS        1986        79.31    72.90    76.07
AUS        1987        79.34    72.92    76.09
AUS        1988        79.60    73.18    76.35
AUS        1989        79.38    73.11    76.20
AUS        1990        80.15    73.98    77.04
AUS        1991        80.49    74.49    77.48
AUS        1992        80.48    74.50    77.47
AUS        1993        80.99    75.04    78.01
AUS        1994        80.82    74.92    77.86
AUS        1995        81.13    75.39    78.26
AUS        1996        81.26    75.45    78.35
AUS        1997        81.38    75.87    78.63
AUS        1998        81.86    76.18    79.03
AUS        1999        82.04    76.50    79.28
AUS        2000        82.27    76.95    79.62
AUS        2001        82.61    77.38    80.01
AUS        2002        82.54    77.54    80.06
AUS        2003        82.91    77.94    80.45
AUS        2004        83.17    78.27    80.74
AUS        2005        83.47    78.67    81.10
AUS        2006        83.58    78.91    81.27
AUS        2007        83.53    78.91    81.24
AUS        2008        83.70    79.14    81.43
AUS        2009        84.00    79.44    81.73
AUS        2010        84.20    79.80    82.02
AUS        2011        84.25    79.91    82.09
AUS        2012        84.30    80.26    82.29
AUS        2013        84.61    80.46    82.54
AUS        2014        84.49    80.52    82.51
AUS        2015        84.62    80.56    82.60
AUS        2016        84.85    80.75    82.80
AUS        2017        84.74    80.68    82.71
AUS        2018        85.29    81.21    83.25
AUS        2019        85.27    81.20    83.24
AUS        2020        85.69    81.63    83.66
AUS        2021        85.45    81.50    83.47
